root,target,path,cost
13,97,97 <- 76 <- 66 <- 53 <- 49 <- 26 <- 13,34
13,98,98 <- 53 <- 49 <- 26 <- 13,33
13,99,99 <- 53 <- 49 <- 26 <- 13,24
13,100,100 <- 63 <- 13,8
14,15,null,null
14,16,null,null
14,17,null,null
14,18,null,null
14,19,null,null
14,20,null,null
14,21,21 <- 14,2
14,22,null,null
14,23,null,null
14,24,null,null
14,25,null,null
14,26,null,null
14,27,null,null
14,28,null,null
14,29,null,null
14,30,null,null
14,31,null,null
14,32,null,null
14,33,null,null
14,34,null,null
14,35,null,null
14,36,null,null
14,37,37 <- 21 <- 14,10
14,38,null,null
14,39,null,null
14,40,null,null
14,41,null,null
14,42,null,null
14,43,null,null
14,44,null,null
14,45,null,null
14,46,null,null
14,47,null,null
14,48,null,null
14,49,49 <- 14,14
14,50,null,null
14,51,null,null
14,52,null,null
14,53,53 <- 14,9
14,54,null,null
14,55,null,null
14,56,null,null
14,57,null,null
14,58,null,null
14,59,null,null
14,60,null,null
14,61,null,null
14,62,null,null
14,63,null,null
14,64,null,null
14,65,null,null
14,66,66 <- 53 <- 14,18
14,67,null,null
14,68,null,null
14,69,69 <- 37 <- 21 <- 14,12
14,70,null,null
14,71,null,null
14,72,null,null
14,73,73 <- 66 <- 53 <- 14,23
14,74,74 <- 37 <- 21 <- 14,18
14,75,null,null
14,76,76 <- 66 <- 53 <- 14,22
14,77,null,null
14,78,78 <- 49 <- 14,26
14,79,79 <- 66 <- 53 <- 14,28
14,80,null,null
14,81,null,null
14,82,null,null
14,83,83 <- 79 <- 66 <- 53 <- 14,43
14,84,null,null
14,85,null,null
14,86,86 <- 76 <- 66 <- 53 <- 14,24
14,87,null,null
14,88,88 <- 53 <- 14,12
14,89,89 <- 78 <- 49 <- 14,35
14,90,null,null
14,91,91 <- 49 <- 14,17
14,92,null,null
14,93,93 <- 49 <- 14,26
14,94,null,null
14,95,95 <- 66 <- 53 <- 14,33
14,96,null,null
14,97,97 <- 76 <- 66 <- 53 <- 14,25
14,98,98 <- 53 <- 14,24
14,99,99 <- 53 <- 14,15
14,100,null,null
15,16,null,null
15,17,null,null
15,18,null,null
15,19,null,null
15,20,null,null
15,21,null,null
15,22,null,null
15,23,null,null
15,24,null,null
15,25,null,null
15,26,null,null
15,27,null,null
15,28,null,null
15,29,null,null
15,30,null,null
15,31,null,null
15,32,null,null
15,33,null,null
15,34,null,null
15,35,null,null
15,36,null,null
15,37,null,null
15,38,null,null
15,39,null,null
15,40,null,null
15,41,null,null
15,42,null,null
15,43,null,null
15,44,null,null
15,45,null,null
15,46,null,null
15,47,null,null
15,48,null,null
15,49,null,null
15,50,null,null
15,51,null,null
15,52,null,null
15,53,null,null
15,54,null,null
15,55,null,null
15,56,null,null
15,57,null,null
15,58,null,null
15,59,null,null
15,60,null,null
15,61,null,null
15,62,null,null
15,63,null,null
15,64,null,null
15,65,null,null
15,66,null,null
15,67,null,null
15,68,null,null
15,69,null,null
15,70,null,null
15,71,null,null
15,72,null,null
15,73,null,null
15,74,null,null
15,75,null,null
15,76,null,null
15,77,null,null
15,78,null,null
15,79,null,null
15,80,null,null
15,81,null,null
15,82,null,null
15,83,null,null
15,84,null,null
15,85,null,null
15,86,null,null
15,87,null,null
15,88,null,null
15,89,null,null
15,90,null,null
15,91,null,null
15,92,null,null
15,93,null,null
15,94,null,null
15,95,null,null
15,96,null,null
15,97,null,null
15,98,null,null
15,99,null,null
15,100,null,null
16,17,null,null
16,18,null,null
16,19,null,null
16,20,null,null
16,21,null,null
16,22,null,null
16,23,23 <- 16,8
16,24,null,null
16,25,25 <- 23 <- 16,11
16,26,null,null
16,27,27 <- 16,12
16,28,null,null
16,29,29 <- 16,3
16,30,null,null
16,31,null,null
16,32,null,null
16,33,33 <- 16,2
16,34,null,null
16,35,null,null
16,36,36 <- 29 <- 16,13
16,37,37 <- 33 <- 16,8
16,38,null,null
16,39,39 <- 16,9
16,40,40 <- 27 <- 16,14
16,41,41 <- 39 <- 16,18
16,42,42 <- 16,6
16,43,43 <- 33 <- 16,5
16,44,44 <- 43 <- 33 <- 16,12
16,45,45 <- 29 <- 16,12
16,46,46 <- 39 <- 16,18
16,47,47 <- 16,2
16,48,48 <- 42 <- 16,11
16,49,null,null
16,50,50 <- 33 <- 16,10
16,51,51 <- 40 <- 27 <- 16,28
16,52,null,null
16,53,null,null
16,54,null,null
16,55,55 <- 50 <- 33 <- 16,12
16,56,null,null
16,57,57 <- 43 <- 33 <- 16,16
16,58,58 <- 46 <- 39 <- 16,31
16,59,59 <- 44 <- 43 <- 33 <- 16,16
16,60,60 <- 42 <- 16,9
16,61,null,null
16,62,62 <- 43 <- 33 <- 16,7
16,63,63 <- 29 <- 16,9
16,64,null,null
16,65,null,null
16,66,null,null
16,67,67 <- 42 <- 16,11
16,68,68 <- 55 <- 50 <- 33 <- 16,17
16,69,69 <- 37 <- 33 <- 16,10
16,70,70 <- 33 <- 16,15
16,71,71 <- 45 <- 29 <- 16,19
16,72,72 <- 33 <- 16,17
16,73,73 <- 55 <- 50 <- 33 <- 16,19
16,74,74 <- 37 <- 33 <- 16,16
16,75,75 <- 45 <- 29 <- 16,25
16,76,76 <- 45 <- 29 <- 16,25
16,77,77 <- 71 <- 45 <- 29 <- 16,27
16,78,78 <- 29 <- 16,9
16,79,79 <- 43 <- 33 <- 16,14
16,80,80 <- 50 <- 33 <- 16,13
16,81,81 <- 40 <- 27 <- 16,16
16,82,82 <- 55 <- 50 <- 33 <- 16,16
16,83,83 <- 44 <- 43 <- 33 <- 16,17
16,84,84 <- 48 <- 42 <- 16,13
16,85,85 <- 82 <- 55 <- 50 <- 33 <- 16,31
16,86,86 <- 76 <- 45 <- 29 <- 16,27
16,87,87 <- 50 <- 33 <- 16,24
16,88,88 <- 50 <- 33 <- 16,23
16,89,89 <- 39 <- 16,15
16,90,90 <- 47 <- 16,4
16,91,91 <- 78 <- 29 <- 16,16
16,92,92 <- 47 <- 16,6
16,93,93 <- 43 <- 33 <- 16,14
16,94,94 <- 70 <- 33 <- 16,22
16,95,null,null
16,96,96 <- 92 <- 47 <- 16,15
16,97,97 <- 76 <- 45 <- 29 <- 16,28
16,98,null,null
16,99,99 <- 83 <- 44 <- 43 <- 33 <- 16,31
16,100,100 <- 63 <- 29 <- 16,14
17,18,null,null
17,19,null,null
17,20,null,null
17,21,null,null
17,22,null,null
17,23,null,null
17,24,null,null
17,25,null,null
17,26,null,null
17,27,null,null
17,28,28 <- 17,7
17,29,29 <- 17,15
